planet_name,koi_period,koi_duration,koi_depth,koi_prad,koi_srad,koi_model_snr,koi_impact,koi_steff,koi_slogg,koi_teq,koi_insol,koi_disposition
10196493,9.81101738,2.09,,,,,,,,,,FALSE POSITIVE
11442793,8.71980135,3.7454,160.4,1.53,1.2,22.7,0.343,5970.0,4.317,987.0,224.47,CONFIRMED
11442793,7.00821787,3.812,116.4,1.29,1.2,19.2,0.156,5970.0,4.317,1062.0,300.58,CONFIRMED
7812455,0.903583394,1.5942,1027.1,33.18,1.101,151.7,1.242,6455.0,4.41,2162.0,5162.98,FALSE POSITIVE
9520443,0.99014722,0.9394,321.1,1.34,0.747,23.0,0.329,5072.0,4.606,1433.0,997.75,FALSE POSITIVE
10601465,138.61227705,13.79,,,,,,,,,,FALSE POSITIVE
7461307,0.77359329,1.7603,80.6,0.82,0.907,21.7,0.388,5747.0,4.508,1890.0,3022.82,FALSE POSITIVE
7269881,0.306937807,0.5925,119.2,0.82,0.741,29.3,0.005,5088.0,4.58,2142.0,5019.53,FALSE POSITIVE
6974658,0.716531851,0.655,78.9,1.11,1.03,17.9,0.887,5552.0,4.349,2034.0,4063.57,CANDIDATE
10964265,0.637487312,1.9626,211.3,1.75,1.083,25.0,0.81,6173.0,4.39,2334.0,7053.67,FALSE POSITIVE
8672910,5.71489488,2.0705,292.5,1.41,0.833,21.2,0.0125,5552.0,4.555,908.0,160.68,FALSE POSITIVE
3233043,7.76967007,4.74,,,,,,,,,,FALSE POSITIVE
7269493,76.642481,5.476,64.5,1.36,1.714,7.6,0.1653,5537.0,3.949,542.0,20.44,FALSE POSITIVE
9634821,5.47715718,1.3849,568.4,2.17,0.93,16.7,0.244,5029.0,4.429,892.0,149.23,CANDIDATE
8753896,73.45736853,5.28,,,,,,,,,,FALSE POSITIVE
11074835,9.49361221,6.52,,,,,,,,,,FALSE POSITIVE
10812504,4.4296786,1.96,,,,,,,,,,FALSE POSITIVE
9827149,5.9703813,0.669,210.3,1.69,0.965,5.5,0.8826,5825.0,4.504,981.0,218.94,FALSE POSITIVE
